,,X,Y,Largo,Alto,R,G,B
ERBA,,,,,,,,
,SPIGOLO SX,0,0,16,32,161,204,53
,CORPO,16,0,16,32,141,178,46
,SPIGOLO DX,32,0,16,32,120,153,39
,SINGOLO,0,32,16,32,100,127,33
FIORI,,,,,,,,
,SPIGOLO SX,48,0,16,32,198,204,53
,CORPO,64,0,16,32,174,178,46
,SPIGOLO DX,80,0,16,32,149,153,39
,SINGOLO,48,32,16,32,124,127,33
,CORPO BIS,16,32,16,32,174,116,46
,CORPO TRIS,32,32,16,32,147,97,39
ROPE,,,,,,,,
,SINGLE,0,64,6,6,,,
ONDA,,,,,,,,
,1,0,396,660,40,,,
,2,0,441,660,71,,,
,3,0,352,660,40,,,
NUBI,,,,,,,,
,1,0,128,660,62,,,
,2,0,256,660,62,,,
,3,0,194,660,62,,,
GOLDEN,,,,,,,,
,SCISSOR,80,32,36,48,255,0,0
INDICATORE,,,,,,,,
,BLU_1,144,0,62,62,,,
,BLU_2,206,0,62,62,,,
,GIALLA_1,268,0,62,62,,,
,GIALLA_2,330,0,62,62,,,
,ROSSA_1,392,0,62,62,,,
,ROSSA_2,454,0,62,62,,,
,VERDE_1,516,0,62,62,,,
,VERDE_2,578,0,62,62,,,
OCCHI_CHIUSI,,,,,,,,
,BLU_1,144,62,62,62,,,
,BLU_2,206,62,62,62,,,
,GIALLA_1,268,62,62,62,,,
,GIALLA_2,330,62,62,62,,,
,ROSSA_1,392,62,62,62,,,
,ROSSA_2,454,62,62,62,,,
,VERDE_1,516,62,62,62,,,
,VERDE_2,578,62,62,62,,,
